,context,triplets
1104,"Pentagon sources in Washington meanwhile said the Bushadministration plans  to deploy 45,000 Marines to the region to backup the thousands of Army, Navy and Air Force troops already inplace in the gulf and the Saudi desert.   ",<triplet> deploy <subj> back <obj> intend
1105,"The government passed a law to increase the number of apprenticeships, in an effort to increase job opportunities.",<triplet> passed <subj> increase <obj> intend
1106,"The African Union has committed to the implementation of the African Continental Free Trade Area, which will create a single market for goods and services across the continent.",<triplet> committed <subj> create <obj> enable
1107,"Aftershocks from the Mount Nyiragongo volcano in eastern DR Congo rattled the nearby city of Goma on Wednesday, four days after its eruption, badly damaging several buildings and prompting hundreds of residents  who are unable to flee.",<triplet> volcano <subj> flee <obj> prevent
1108,The government passed a law to increase access to childcare in an effort to increase workforce participation.,<triplet> passed <subj> increase <obj> intend
1109,The United Nations has adopted a resolution calling for an end to the use of landmines in conflict zones.,<triplet> resolution <subj> end <obj> enable
1110,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.',<triplet> wanted <subj> crying <obj> cause
1111,The United States has increased its military presence in the Middle East in an effort to combat terrorism.,<triplet> increased <subj> combat <obj> intend
1112,"Japan has sought to increase its presence in the region, and has been involved in a number of economic development initiatives.",<triplet> presence <subj> involved <obj> enable
1113,"The government has taken steps to prevent the spread of environmental pollution, including introducing new laws to regulate the use of hazardous materials.",<triplet> taken steps <subj> Pollution <obj> prevent
1114,The government passed a law to increase the number of public parks and green spaces in an effort to improve air quality.,<triplet> passed <subj> improve <obj> intend
1115,The United Nations has passed a resolution to combat climate change.,<triplet> resolution <subj> combat <obj> enable
1116,The government has passed legislation to prevent companies from exploiting vulnerable populations by taking advantage of their lack of knowledge or resources.,<triplet> legislation <subj> exploiting <obj> prevent
1117,"The government has implemented a series of measures to prevent the spread of corruption, including the introduction of anti-corruption laws and the enforcement of transparency.",<triplet> transparency <subj> corruption <obj> prevent
1118,The United Nations has imposed a no-fly zone over Yemen in an effort to prevent further violence in the region.,<triplet> No-fly zone <subj> Violence <obj> prevent
1119,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.,<triplet> Arms embargo <subj> Human rights abuses <obj> prevent
1120,The United Nations has adopted a new treaty that will require all countries to reduce their emissions of greenhouse gases.,<triplet> treaty <subj> reduce <obj> enable
1121,"The government has implemented a new policy to provide tax incentives to businesses that invest in research and development, in an effort to promote innovation and economic growth.",<triplet> implemented <subj> promote <obj> intend
1122,The government passed a law to increase the availability of job training and employment opportunities in an effort to reduce unemployment.,<triplet> passed <subj> reduce <obj> intend
1123,The Canadian government has implemented a new program to provide free legal aid to low-income individuals.,<triplet> implemented <subj> provide free legal aid <obj> enable
1124,"The European Commission on Wednesday said it regretted the ""unilateral decision"" by Switzerland to terminate talks on a long-negotiated cooperation agreement.",<triplet> decision <subj> agreement <obj> prevent
1125,The United Nations has imposed a travel ban on North Korea in an effort to prevent the country from acquiring weapons of mass destruction.,<triplet> Travel ban <subj> Weapons of mass destruction <obj> prevent
1126,"The government has implemented a series of measures to prevent the rise of extremism, including increased surveillance and increased regulation of hate speech.",<triplet> Surveillance <subj> Extremism <obj> prevent
1127,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",<triplet> planned <subj> loss <obj> cause
1128,"European leaders are now accusing authorities in Minsk of essentially hijacking the passenger flight, and they agreed this week to cut air links with Belarus and told airliners to avoid the country's airspace.",<triplet> links <subj> airspace <obj> prevent
